metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,3,0.6667,0.4714,1.0000,1.0000,0.0000,1.0000,2
cargo_toml_valid,rate,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_present,rate,3,0.3333,0.4714,0.0000,1.0000,0.0000,1.0000,1
tool_calls_total,count,3,4.6667,1.6997,4.0000,7.0000,3.0000,7.0000,3
write_calls,count,3,1.6667,0.9428,1.0000,3.0000,1.0000,3.0000,3
drift_empty_path,count,3,1.3333,0.4714,1.0000,2.0000,1.0000,2.0000,3
drift_path_outside_target,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,3,5.6667,2.0548,6.0000,8.0000,3.0000,8.0000,3
atlas_b1_drift_fires,count,3,0.3333,0.4714,0.0000,1.0000,0.0000,1.0000,1
atlas_tier5c_retries,count,3,0.3333,0.4714,0.0000,1.0000,0.0000,1.0000,1
atlas_a2_fuzzy_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,3,4.3333,1.2472,4.0000,6.0000,3.0000,6.0000,3
wall_time_s,count,3,118.2073,1.2576,118.2750,119.7125,116.6344,119.7125,3
