metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,1,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1
cargo_toml_valid,rate,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_present,rate,1,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1
tool_calls_total,count,1,5.0000,0.0000,5.0000,5.0000,5.0000,5.0000,1
write_calls,count,1,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,1
drift_empty_path,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,1,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,1
atlas_ws1_mask_fires,count,1,8.0000,0.0000,8.0000,8.0000,8.0000,8.0000,1
atlas_b1_drift_fires,count,1,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1
atlas_tier5c_retries,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,1,5.0000,0.0000,5.0000,5.0000,5.0000,5.0000,1
wall_time_s,count,1,119.1964,0.0000,119.1964,119.1964,119.1964,119.1964,1
